open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1739970000000	25073.21	25073.21	25073.21	25073.21	0	1739970899999	0	0	0	0	2025-02-19 13:00:00+00:00	2025-02-19 13:14:59.999000+00:00
1739970900000	25073.21	25073.21	25073.21	25073.21	0	1739971799999	0	0	0	0	2025-02-19 13:15:00+00:00	2025-02-19 13:29:59.999000+00:00
1739971800000	96236.28	96315.03	77838.56	96315.03	0.08358	1739972699999	7798.910624	18	0.01251	975.0537385	2025-02-19 13:30:00+00:00	2025-02-19 13:44:59.999000+00:00
1739972700000	96253.8	96253.8	95878.34	95878.34	0.00248	1739973599999	238.4203198	2	0	0	2025-02-19 13:45:00+00:00	2025-02-19 13:59:59.999000+00:00
1739973600000	95878.34	95878.34	95878.34	95878.34	0	1739974499999	0	0	0	0	2025-02-19 14:00:00+00:00	2025-02-19 14:14:59.999000+00:00
1739974500000	95878.34	95878.34	95878.34	95878.34	0	1739975399999	0	0	0	0	2025-02-19 14:15:00+00:00	2025-02-19 14:29:59.999000+00:00
1739975400000	96400	96400	96400	96400	0.00152	1739976299999	146.528	2	0	0	2025-02-19 14:30:00+00:00	2025-02-19 14:44:59.999000+00:00
1739976300000	96120.31	96120.31	95878.34	95878.34	0.00602	1739977199999	578.4482705	2	0.00521	500.7868151	2025-02-19 14:45:00+00:00	2025-02-19 14:59:59.999000+00:00
1739977200000	95878.34	95878.34	95878.34	95878.34	0	1739978099999	0	0	0	0	2025-02-19 15:00:00+00:00	2025-02-19 15:14:59.999000+00:00
1739978100000	95878.35	95878.35	95878.35	95878.35	0.00121	1739978999999	116.0128035	2	0.00121	116.0128035	2025-02-19 15:15:00+00:00	2025-02-19 15:29:59.999000+00:00
1739979000000	95912.63	96476.36	95912.63	96387.92	0.01006	1739979899999	965.3003844	4	0.01006	965.3003844	2025-02-19 15:30:00+00:00	2025-02-19 15:44:59.999000+00:00
1739979900000	96387.92	96387.92	96387.92	96387.92	0	1739980799999	0	0	0	0	2025-02-19 15:45:00+00:00	2025-02-19 15:59:59.999000+00:00
1739980800000	96387.92	96387.92	96387.92	96387.92	0	1739981699999	0	0	0	0	2025-02-19 16:00:00+00:00	2025-02-19 16:14:59.999000+00:00
1739981700000	96387.92	96387.92	96387.92	96387.92	0	1739982599999	0	0	0	0	2025-02-19 16:15:00+00:00	2025-02-19 16:29:59.999000+00:00
1739982600000	96095.77	96387.92	96095.77	96387.92	0.0652	1739983499999	6280.3954449	5	0.01913	1839.8039705	2025-02-19 16:30:00+00:00	2025-02-19 16:44:59.999000+00:00
1739983500000	96387.92	96387.92	96387.92	96387.92	0	1739984399999	0	0	0	0	2025-02-19 16:45:00+00:00	2025-02-19 16:59:59.999000+00:00
1739984400000	96382.29	96382.29	96253.21	96253.21	0.00132	1739985299999	127.206799	3	0.00116	111.8034564	2025-02-19 17:00:00+00:00	2025-02-19 17:14:59.999000+00:00
1739985300000	96253.21	96253.21	96253.21	96253.21	0	1739986199999	0	0	0	0	2025-02-19 17:15:00+00:00	2025-02-19 17:29:59.999000+00:00
1739986200000	96356.86	96356.86	96356.86	96356.86	0.00024	1739987099999	23.1256464	1	0	0	2025-02-19 17:30:00+00:00	2025-02-19 17:44:59.999000+00:00
1739987100000	96460	96460	96460	96460	0.01134	1739987999999	1093.8564	2	0	0	2025-02-19 17:45:00+00:00	2025-02-19 17:59:59.999000+00:00
1739988000000	96460	96460	96460	96460	0	1739988899999	0	0	0	0	2025-02-19 18:00:00+00:00	2025-02-19 18:14:59.999000+00:00
1739988900000	96460	96460	96460	96460	0	1739989799999	0	0	0	0	2025-02-19 18:15:00+00:00	2025-02-19 18:29:59.999000+00:00
1739989800000	96460	96460	96460	96460	0	1739990699999	0	0	0	0	2025-02-19 18:30:00+00:00	2025-02-19 18:44:59.999000+00:00
1739990700000	96253.22	96253.22	96253.22	96253.22	0.00103	1739991599999	99.1408166	1	0.00103	99.1408166	2025-02-19 18:45:00+00:00	2025-02-19 18:59:59.999000+00:00
1739991600000	96253.21	96253.21	95578.75	95578.76	0.03478	1739992499999	3324.9607813	7	0.00012	11.4694512	2025-02-19 19:00:00+00:00	2025-02-19 19:14:59.999000+00:00
1739992500000	95826.64	95826.64	95826.64	95826.64	0.00119	1739993399999	114.0337016	1	0	0	2025-02-19 19:15:00+00:00	2025-02-19 19:29:59.999000+00:00
1739993400000	95826.64	95826.64	95826.64	95826.64	0	1739994299999	0	0	0	0	2025-02-19 19:30:00+00:00	2025-02-19 19:44:59.999000+00:00
1739994300000	96013.64	96013.64	96013.64	96013.64	0.00025	1739995199999	24.00341	1	0	0	2025-02-19 19:45:00+00:00	2025-02-19 19:59:59.999000+00:00
1739995200000	96215.53	96382.99	96215.53	96382.99	0.00151	1739996099999	145.3038709	2	0.00011	10.6021289	2025-02-19 20:00:00+00:00	2025-02-19 20:14:59.999000+00:00
1739996100000	96309.02	96309.03	96309.02	96309.03	0.00207	1739996999999	199.3596778	2	0.00207	199.3596778	2025-02-19 20:15:00+00:00	2025-02-19 20:29:59.999000+00:00
1739997000000	96425.45	96425.45	96425.45	96425.45	0.00103	1739997899999	99.3182135	1	0.00103	99.3182135	2025-02-19 20:30:00+00:00	2025-02-19 20:44:59.999000+00:00
1739997900000	96139.26	96139.26	96139.26	96139.26	0.00104	1739998799999	99.9848304	1	0	0	2025-02-19 20:45:00+00:00	2025-02-19 20:59:59.999000+00:00
